VerticalDisplacement, Energy
-0.6779, 128.1502
-0.6829, 128.3157
-0.6879, 128.4504
-0.6929, 128.5542
-0.6979, 128.6269
-0.7029, 128.6686
-0.7079, 128.6793
-0.7129, 128.6589
-0.7179, 128.6074
-0.7229, 128.5249
-0.7279, 128.4114
-0.7329, 128.2670
-0.7379, 128.0917
-0.7429, 127.8857
-0.7479, 127.6490
-0.7529, 127.3818
-0.7579, 127.0841
-0.7629, 126.7563
-0.7679, 126.3983
-0.7729, 126.0105
-0.7779, 125.5929
-0.7829, 125.1458
-0.7879, 124.6695
-0.7929, 124.1642
-0.7979, 123.6301
-0.8029, 123.0675
-0.8079, 122.4767
-0.8129, 121.8580
-0.8179, 121.2116
-0.8229, 120.5380
-0.8279, 119.8375
-0.8329, 119.1104
-0.8379, 118.3570
-0.8429, 117.5779
-0.8479, 116.7732
-0.8529, 115.9435
-0.8579, 115.0892
-0.8629, 114.2106
-0.8679, 113.3082
-0.8729, 112.3825
-0.8779, 111.4340
-0.8829, 110.4630
-0.8879, 109.4700
-0.8929, 108.4556
-0.8979, 107.4203
-0.9029, 106.3645
-0.9079, 105.2887
-0.9129, 104.1936
-0.9179, 103.0795
-0.9229, 101.9471
-0.9279, 100.7969
-0.9329,  99.6294
-0.9379,  98.4453
-0.9429,  97.2450
-0.9479,  96.0292
-0.9529,  94.7984
-0.9579,  93.5532
-0.9629,  92.2942
-0.9679,  91.0221
-0.9729,  89.7373
-0.9779,  88.4405
-0.9829,  87.1324
-0.9879,  85.8135
-0.9929,  84.4844
-0.9979,  83.1458
-1.0029,  81.7983
-1.0079,  80.4425
-1.0129,  79.0791
-1.0179,  77.7086
-1.0229,  76.3318
-1.0279,  74.9492
-1.0329,  73.5616
-1.0379,  72.1694
-1.0429,  70.7735
-1.0479,  69.3743
-1.0529,  67.9726
-1.0579,  66.5691
-1.0629,  65.1642
-1.0679,  63.7588
-1.0729,  62.3534
-1.0779,  60.9487
-1.0829,  59.5453
-1.0879,  58.1439
-1.0929,  56.7450
-1.0979,  55.3495
-1.1029,  53.9578
-1.1079,  52.5706
-1.1129,  51.1886
-1.1179,  49.8124
-1.1229,  48.4426
-1.1279,  47.0799
-1.1329,  45.7249
-1.1379,  44.3782
-1.1429,  43.0404
-1.1479,  41.7122
-1.1529,  40.3942
-1.1579,  39.0869
-1.1629,  37.7911
-1.1679,  36.5073
-1.1729,  35.2361
-1.1779,  33.9781
-1.1829,  32.7340
-1.1879,  31.5043
-1.1929,  30.2896
-1.1979,  29.0905
-1.2029,  27.9076
-1.2079,  26.7415
-1.2129,  25.5928
-1.2179,  24.4619
-1.2229,  23.3496
-1.2279,  22.2563
-1.2329,  21.1827
-1.2379,  20.1293
-1.2429,  19.0966
-1.2479,  18.0852
-1.2529,  17.0956
-1.2579,  16.1285
-1.2629,  15.1842
-1.2679,  14.2634
-1.2729,  13.3666
-1.2779,  12.4943
-1.2829,  11.6470
-1.2879,  10.8253
-1.2929,  10.0296
-1.2979,   9.2605
-1.3029,   8.5184
-1.3079,   7.8039
-1.3129,   7.1175
-1.3179,   6.4596
-1.3229,   5.8307
-1.3279,   5.2314
-1.3329,   4.6620
-1.3379,   4.1231
-1.3429,   3.6152
-1.3479,   3.1386
-1.3529,   2.6938
-1.3579,   2.2814
-1.3629,   1.9017
-1.3679,   1.5552
-1.3729,   1.2423
-1.3779,   0.9635
-1.3829,   0.7192
-1.3879,   0.5098
-1.3929,   0.3357
-1.3979,   0.1974
-1.4029,   0.0953
-1.4079,   0.0298
-1.4129,   0.0013
-1.4179,   0.0102
-1.4229,   0.0568
-1.4279,   0.1417
-1.4329,   0.2651
-1.4379,   0.4275
-1.4429,   0.6292
-1.4479,   0.8706
-1.4529,   1.1522
-1.4579,   1.4741
-1.4629,   1.8369
-1.4679,   2.2409
-1.4729,   2.6863
-1.4779,   3.1737
-1.4829,   3.7033
-1.4879,   4.2755
-1.4929,   4.8906
-1.4979,   5.5490
-1.5029,   6.2509
-1.5079,   6.9968
-1.5129,   7.7869
-1.5179,   8.6215
-1.5229,   9.5011
-1.5279,  10.4258
-1.5329,  11.3961
-1.5379,  12.4121
-1.5429,  13.4743
-1.5479,  14.5829
-1.5529,  15.7382
-1.5579,  16.9406
-1.5629,  18.1902
-1.5679,  19.4874
-1.5729,  20.8325
-1.5779,  22.2258
-1.5829,  23.6675
-1.5879,  25.1579
-1.5929,  26.6972
-1.5979,  28.2858
-1.6029,  29.9240
-1.6079,  31.6119
-1.6129,  33.3498
-1.6179,  35.1380
-1.6229,  36.9767
