VerticalDisplacement, HorizontalForceInternal, HorizontalForceExternal, VerticalForceInternal, VerticalForceExternal
0.2071,   0.0000,  -0.0000, 369.6261,  -0.0000
0.2021,   0.0000,  -0.0000, 359.5092,  -0.0000
0.1971,   0.0000,  -0.0000, 349.4426,  -0.0000
0.1921,   0.0000,  -0.0000, 339.4271,  -0.0000
0.1871,   0.0000,  -0.0000, 329.4633,  -0.0000
0.1821,   0.0000,  -0.0000, 319.5517,  -0.0000
0.1771,   0.0000,  -0.0000, 309.6930,  -0.0000
0.1721,   0.0000,  -0.0000, 299.8877,  -0.0000
0.1671,   0.0000,  -0.0000, 290.1365,  -0.0000
0.1621,   0.0000,  -0.0000, 280.4401,  -0.0000
0.1571,   0.0000,  -0.0000, 270.7990,  -0.0000
0.1521,   0.0000,  -0.0000, 261.2139,  -0.0000
0.1471,   0.0000,  -0.0000, 251.6855,  -0.0000
0.1421,   0.0000,  -0.0000, 242.2144,  -0.0000
0.1371,   0.0000,  -0.0000, 232.8013,  -0.0000
0.1321,   0.0000,  -0.0000, 223.4468,  -0.0000
0.1271,   0.0000,  -0.0000, 214.1516,  -0.0000
0.1221,   0.0000,  -0.0000, 204.9165,  -0.0000
0.1171,   0.0000,  -0.0000, 195.7420,  -0.0000
0.1121,   0.0000,  -0.0000, 186.6289,  -0.0000
0.1071,   0.0000,  -0.0000, 177.5779,  -0.0000
0.1021,   0.0000,  -0.0000, 168.5898,  -0.0000
0.0971,   0.0000,  -0.0000, 159.6651,  -0.0000
0.0921,   0.0000,  -0.0000, 150.8047,  -0.0000
0.0871,   0.0000,  -0.0000, 142.0093,  -0.0000
0.0821,   0.0000,  -0.0000, 133.2796,  -0.0000
0.0771,   0.0000,  -0.0000, 124.6163,  -0.0000
0.0721,   0.0000,  -0.0000, 116.0202,  -0.0000
0.0671,   0.0000,  -0.0000, 107.4922,  -0.0000
0.0621,   0.0000,  -0.0000,  99.0328,  -0.0000
0.0571,   0.0000,  -0.0000,  90.6429,  -0.0000
0.0521,   0.0000,  -0.0000,  82.3233,  -0.0000
0.0471,   0.0000,  -0.0000,  74.0748,  -0.0000
0.0421,   0.0000,  -0.0000,  65.8981,  -0.0000
0.0371,   0.0000,  -0.0000,  57.7940,  -0.0000
0.0321,   0.0000,  -0.0000,  49.7634,  -0.0000
0.0271,   0.0000,  -0.0000,  41.8070,  -0.0000
0.0221,   0.0000,  -0.0000,  33.9256,  -0.0000
0.0171,   0.0000,  -0.0000,  26.1202,  -0.0000
0.0121,   0.0000,  -0.0000,  18.3914,  -0.0000
0.0071,   0.0000,  -0.0000,  10.7401,  -0.0000
0.0021,   0.0000,  -0.0000,   3.1672,  -0.0000
-0.0029,   0.0000,  -0.0000,  -4.3265,  -0.0000
-0.0079,   0.0000,  -0.0000, -11.7402,  -0.0000
-0.0129,   0.0000,  -0.0000, -19.0729,  -0.0000
-0.0179,   0.0000,  -0.0000, -26.3240,  -0.0000
-0.0229,   0.0000,  -0.0000, -33.4924,  -0.0000
-0.0279,   0.0000,  -0.0000, -40.5774,  -0.0000
-0.0329,   0.0000,  -0.0000, -47.5780,  -0.0000
-0.0379,   0.0000,  -0.0000, -54.4935,  -0.0000
-0.0429,   0.0000,  -0.0000, -61.3228,  -0.0000
-0.0479,   0.0000,  -0.0000, -68.0653,  -0.0000
-0.0529,   0.0000,  -0.0000, -74.7198,  -0.0000
-0.0579,   0.0000,  -0.0000, -81.2857,  -0.0000
-0.0629,   0.0000,  -0.0000, -87.7620,  -0.0000
-0.0679,   0.0000,  -0.0000, -94.1478,  -0.0000
-0.0729,   0.0000,  -0.0000, -100.4421,  -0.0000
-0.0779,   0.0000,  -0.0000, -106.6442,  -0.0000
-0.0829,   0.0000,  -0.0000, -112.7532,  -0.0000
-0.0879,   0.0000,  -0.0000, -118.7680,  -0.0000
-0.0929,   0.0000,  -0.0000, -124.6879,  -0.0000
-0.0979,   0.0000,  -0.0000, -130.5120,  -0.0000
-0.1029,   0.0000,  -0.0000, -136.2393,  -0.0000
-0.1079,   0.0000,  -0.0000, -141.8689,  -0.0000
-0.1129,   0.0000,  -0.0000, -147.3999,  -0.0000
-0.1179,   0.0000,  -0.0000, -152.8316,  -0.0000
-0.1229,   0.0000,  -0.0000, -158.1628,  -0.0000
-0.1279,   0.0000,  -0.0000, -163.3928,  -0.0000
-0.1329,   0.0000,  -0.0000, -168.5207,  -0.0000
-0.1379,   0.0000,  -0.0000, -173.5456,  -0.0000
-0.1429,   0.0000,  -0.0000, -178.4666,  -0.0000
-0.1479,   0.0000,  -0.0000, -183.2828,  -0.0000
-0.1529,   0.0000,  -0.0000, -187.9934,  -0.0000
-0.1579,   0.0000,  -0.0000, -192.5975,  -0.0000
-0.1629,   0.0000,  -0.0000, -197.0941,  -0.0000
-0.1679,   0.0000,  -0.0000, -201.4825,  -0.0000
-0.1729,   0.0000,  -0.0000, -205.7618,  -0.0000
-0.1779,   0.0000,  -0.0000, -209.9312,  -0.0000
-0.1829,   0.0000,  -0.0000, -213.9898,  -0.0000
-0.1879,   0.0000,  -0.0000, -217.9368,  -0.0000
-0.1929,   0.0000,  -0.0000, -221.7714,  -0.0000
-0.1979,   0.0000,  -0.0000, -225.4927,  -0.0000
-0.2029,   0.0000,  -0.0000, -229.1000,  -0.0000
